sensor_ts_us,system_ts_us
285258750,1754259116812669.2
285292088,1754259116853398.8
285325375,1754259116874747.2
285358711,1754259116909292.5
285392063,1754259116952246.8
285425360,1754259116972261.0
285458645,1754259117009226.0
285491966,1754259117022833.2
285525309,1754259117080207.0
285558635,1754259117100652.0
285591953,1754259117126549.5
285625267,1754259117161681.8
285658577,1754259117200554.2
285691891,1754259117222745.2
285725245,1754259117290973.0
285758535,1754259117308736.2
285791849,1754259117351397.2
285825168,1754259117400886.2
285858494,1754259117448752.8
285891812,1754259117489267.8
285925120,1754259117524723.8
285958428,1754259117546075.5
285991771,1754259117571677.2
286025056,1754259117600532.0
286058374,1754259117621113.0
286091717,1754259117639078.0
286125002,1754259117711882.5
286158356,1754259117745061.8
286191645,1754259117776786.2
286224962,1754259117796428.0
286258274,1754259117821347.2
286291603,1754259117859237.2
286324934,1754259117878939.0
286358238,1754259117901611.2
286391554,1754259117956751.5
286424871,1754259117967158.8
286458216,1754259118005024.2
286491503,1754259118045709.2
286524818,1754259118058073.0
286558132,1754259118112234.0
286591456,1754259118128723.2
286624808,1754259118159175.2
286658115,1754259118197453.5
286691404,1754259118241144.2
286724741,1754259118281226.5
286758047,1754259118313268.0
286791387,1754259118331054.5
286824680,1754259118364551.8
286858020,1754259118389247.2
286891337,1754259118421960.0
286924629,1754259118469293.8
286957945,1754259118501660.8
286991266,1754259118525618.8
287024603,1754259118555709.0
287057901,1754259118598793.0
287091218,1754259118630057.5
287124534,1754259118661541.5
287157856,1754259118689131.8
287191171,1754259118724376.0
287224496,1754259118763501.8
287257807,1754259118800088.5
287291131,1754259118822624.2
287324476,1754259118861822.0
287357796,1754259118897797.5
287391111,1754259118936630.8
287424398,1754259118961456.5
287457714,1754259118993863.5
287491033,1754259119053704.2
287524376,1754259119091888.8
287557704,1754259119109819.8
287591018,1754259119130312.5
287624318,1754259119178006.5
287657652,1754259119206095.5
287690954,1754259119243006.2
287724290,1754259119292532.8
287757606,1754259119315808.5
287790899,1754259119347396.2
287824226,1754259119381064.0
287857559,1754259119420909.5
287890884,1754259119441050.5
287924174,1754259119466895.0
287957488,1754259119500917.0
287990832,1754259119540687.8
288024143,1754259119557468.0
288057474,1754259119619410.2
288090762,1754259119632325.0
288124114,1754259119654944.8
288157438,1754259119726318.0
288190749,1754259119748901.2
288224070,1754259119761099.8
288257375,1754259119826967.0
288290696,1754259119865939.5
288323977,1754259119886425.0
288357329,1754259119908853.5
288390614,1754259119925616.0
288423969,1754259119971489.5
288457283,1754259119993754.2
288490600,1754259120053037.2
288523933,1754259120090062.8
288557242,1754259120127028.2
288590547,1754259120146161.0
288623857,1754259120178584.8
288657157,1754259120194636.0
288690472,1754259120232350.0
288723792,1754259120260559.2
288757137,1754259120294607.5
288790436,1754259120324360.2
288823751,1754259120358675.0
288857069,1754259120391079.5
288890412,1754259120424557.0
288923698,1754259120456289.0
288957017,1754259120487598.2
288990362,1754259120522264.0
289023681,1754259120556549.0
289057006,1754259120592301.0
289090316,1754259120623187.2
289123636,1754259120654249.0
289156953,1754259120687375.5
289190247,1754259120723525.2
289223587,1754259120767737.8
289256876,1754259120789405.0
289290236,1754259120832243.5
289323543,1754259120853991.5
289356862,1754259120888418.2
289390147,1754259120921724.5
289423464,1754259120954557.5
289456786,1754259120988624.8
289490100,1754259121029234.5
289523420,1754259121055650.5
289556736,1754259121088963.5
289590053,1754259121122842.2
289623375,1754259121158484.2
289656696,1754259121192327.2
289690008,1754259121253137.5
289723362,1754259121281218.0
289756644,1754259121305150.5
289789989,1754259121342217.5
289823282,1754259121376375.5
289856599,1754259121392400.5
289889949,1754259121433775.0
289923261,1754259121461247.8
289956550,1754259121494578.8
289989867,1754259121520814.8
290023222,1754259121560640.5
290056528,1754259121587245.5
290089821,1754259121623815.8
290123166,1754259121665262.8
290156470,1754259121700623.5
290189795,1754259121747223.2
290223130,1754259121776645.2
290256425,1754259121787551.0
290289767,1754259121858864.5
290323078,1754259121872701.5
290356392,1754259121933066.8
290389692,1754259121950477.0
290423039,1754259121980196.2
290456350,1754259122008675.2
290489657,1754259122042861.5
290522955,1754259122064492.5
290556281,1754259122103100.8
290589591,1754259122141990.0
290622908,1754259122172389.2
290656228,1754259122208610.2
290689550,1754259122232608.2
290722861,1754259122260183.2
290756195,1754259122286544.0
