sensor_ts,system_ts
4548846930,1754204457478060.2
4548880249,1754204457511410.0
4548913567,1754204457544776.5
4548946883,1754204457578213.2
4548980204,1754204457611455.5
4549013521,1754204457644782.8
4549046840,1754204457678420.2
4549080159,1754204457711639.5
4549113476,1754204457745359.5
4549146794,1754204457778116.0
4549180112,1754204457811417.5
4549213431,1754204457844757.2
4549246749,1754204457877986.8
4549280067,1754204457911244.8
4549313386,1754204457944608.5
4549346704,1754204457977879.5
4549380022,1754204458012230.0
4549413341,1754204458044507.5
4549446660,1754204458077825.0
4549479976,1754204458111167.0
4549513296,1754204458144638.5
4549546617,1754204458178042.8
4549579933,1754204458211330.8
4549613250,1754204458244655.8
4549646569,1754204458277808.2
4549679888,1754204458312167.8
4549713206,1754204458345404.8
4549746525,1754204458377792.5
4549779843,1754204458411154.8
4549813162,1754204458444482.0
4549846479,1754204458477703.2
4549879797,1754204458511052.2
4549913117,1754204458544423.0
4549946435,1754204458579020.2
4549979753,1754204458612286.0
4550013069,1754204458644532.8
4550046388,1754204458678660.8
4550079707,1754204458711022.2
4550113026,1754204458745359.2
4550146341,1754204458777710.0
4550179661,1754204458812128.5
4550212978,1754204458844392.2
4550246297,1754204458878475.0
4550279617,1754204458910802.5
4550312934,1754204458944239.5
4550346255,1754204458977587.0
4550379573,1754204459010793.5
4550412889,1754204459044138.5
4550446208,1754204459077416.5
4550479525,1754204459110699.0
4550512846,1754204459143998.0
4550546162,1754204459177361.5
4550579480,1754204459210651.5
4550612800,1754204459243945.2
4550646117,1754204459277367.0
4550679434,1754204459310716.8
4550712754,1754204459344096.2
4550746070,1754204459377375.2
4550779391,1754204459410680.0
4550812708,1754204459444966.2
4550846026,1754204459477291.2
4550879345,1754204459510686.0
4550912663,1754204459543950.5
4550945983,1754204459577256.0
4550979300,1754204459610590.0
4551012618,1754204459644874.0
4551045936,1754204459678233.2
4551079253,1754204459710497.5
4551112577,1754204459743829.8
4551145893,1754204459777155.8
4551179210,1754204459811628.8
4551212527,1754204459843838.0
4551245846,1754204459877175.2
4551279165,1754204459910586.5
4551312482,1754204459943876.0
4551345801,1754204459977157.0
4551379119,1754204460010384.0
4551412440,1754204460043706.2
4551445756,1754204460077014.0
4551479073,1754204460111305.2
4551512394,1754204460143709.2
4551545710,1754204460176982.0
4551579028,1754204460210300.2
4551612348,1754204460243588.2
4551645666,1754204460276929.5
4551678983,1754204460311227.0
4551712303,1754204460343552.5
4551745620,1754204460376878.8
4551778938,1754204460410183.2
4551812258,1754204460443493.0
4551845576,1754204460476856.0
4551878893,1754204460510181.8
4551912212,1754204460543561.2
4551945531,1754204460576769.5
4551978847,1754204460611089.2
4552012166,1754204460643324.5
4552045486,1754204460676627.8
4552078803,1754204460711196.2
4552112121,1754204460743504.5
4552145440,1754204460776825.8
4552178757,1754204460809871.8
4552212076,1754204460844213.2
4552245395,1754204460876532.8
4552278714,1754204460909835.8
4552312031,1754204460944354.0
4552345350,1754204460976660.5
4552378667,1754204461009898.8
4552411986,1754204461043229.2
4552445304,1754204461076582.8
4552478624,1754204461110878.2
4552511941,1754204461144194.2
4552545259,1754204461176523.0
4552578577,1754204461209846.2
4552611895,1754204461243132.8
4552645215,1754204461276484.2
4552678533,1754204461309785.8
4552711850,1754204461343164.5
4552745169,1754204461376442.2
4552778487,1754204461409745.5
4552811805,1754204461443056.0
4552845124,1754204461476375.0
4552878442,1754204461509724.2
4552911760,1754204461543002.2
4552945079,1754204461576322.2
4552978397,1754204461609648.8
4553011714,1754204461642844.8
4553045034,1754204461676196.2
4553078353,1754204461709456.0
4553111669,1754204461742928.0
4553144989,1754204461776238.8
4553178307,1754204461809554.5
4553211624,1754204461842859.0
4553244944,1754204461876166.0
4553278262,1754204461909507.5
4553311579,1754204461942841.2
4553344899,1754204461976092.0
4553378215,1754204462009457.8
4553411534,1754204462042747.0
4553444853,1754204462077045.2
4553478170,1754204462109421.2
4553511489,1754204462142800.2
4553544808,1754204462176062.2
4553578126,1754204462209395.0
4553611444,1754204462242677.5
4553644763,1754204462276993.2
4553678080,1754204462309310.0
4553711399,1754204462342607.2
4553744718,1754204462375864.0
4553778036,1754204462409166.8
4553811353,1754204462442490.0
4553844673,1754204462475828.0
4553877992,1754204462509104.0
4553911308,1754204462542892.0
4553944631,1754204462575779.0
4553977949,1754204462609060.0
4554011264,1754204462642358.8
4554044582,1754204462676778.8
4554077901,1754204462710018.8
4554111218,1754204462742379.2
4554144538,1754204462775648.0
4554177855,1754204462808952.5
4554211173,1754204462842286.2
4554244492,1754204462875610.5
4554277811,1754204462908909.0
4554311127,1754204462942329.5
4554344447,1754204462975670.0
4554377764,1754204463009003.5
4554411083,1754204463043252.0
4554444402,1754204463076617.8
4554477719,1754204463108919.2
4554511038,1754204463142223.5
4554544356,1754204463175544.8
4554577675,1754204463208931.5
4554610992,1754204463242183.0
4554644312,1754204463275497.0
4554677630,1754204463308858.2
4554710947,1754204463342293.0
4554744266,1754204463375520.8
4554777584,1754204463408880.2
4554810902,1754204463442124.2
4554844221,1754204463475348.5
4554877537,1754204463508766.2
4554910856,1754204463543449.2
4554944173,1754204463575476.0
4554977492,1754204463608870.8
4555010810,1754204463643130.5
4555044128,1754204463676449.8
4555077446,1754204463708790.0
4555110764,1754204463742149.5
4555144082,1754204463775405.8
4555177401,1754204463808726.2
4555210721,1754204463841954.8
4555244040,1754204463875312.5
4555277360,1754204463908630.2
4555310675,1754204463941852.0
4555343995,1754204463975103.2
4555377314,1754204464009478.2
4555410631,1754204464041880.2
4555443948,1754204464075217.0
4555477269,1754204464108557.2
4555510587,1754204464141919.2
4555543905,1754204464175156.5
4555577223,1754204464208509.8
4555610541,1754204464241707.8
4555643860,1754204464275002.5
4555677179,1754204464308329.5
4555710497,1754204464342704.0
4555743814,1754204464374983.0
4555777134,1754204464408279.2
4555810451,1754204464441652.8
4555843770,1754204464474928.0
4555877089,1754204464508231.5
4555910406,1754204464542022.8
4555943724,1754204464574871.5
4555977043,1754204464608188.5
4556010360,1754204464641612.0
4556043679,1754204464674893.5
4556076999,1754204464708217.2
4556110316,1754204464741437.5
4556143634,1754204464774738.5
4556176953,1754204464808123.2
4556210272,1754204464841360.0
4556243589,1754204464874724.0
4556276908,1754204464908053.2
4556310226,1754204464941387.2
4556343544,1754204464974710.0
4556376863,1754204465007956.0
4556410180,1754204465041289.2
4556443498,1754204465075711.8
4556476818,1754204465107905.8
4556510135,1754204465141255.5
4556543453,1754204465174607.0
4556576773,1754204465207875.2
4556610090,1754204465242204.0
4556643408,1754204465274519.2
4556676727,1754204465307803.2
4556710046,1754204465342291.0
4556743363,1754204465374503.5
4556776682,1754204465407844.2
4556810001,1754204465441103.2
4556843318,1754204465475494.2
4556876637,1754204465507801.2
4556909955,1754204465541069.8
4556943273,1754204465574457.2
4556976592,1754204465607740.8
4557009911,1754204465641320.0
4557043228,1754204465674654.2
4557076547,1754204465708016.5
4557109864,1754204465741057.8
4557143182,1754204465774336.5
4557176500,1754204465807636.0
4557209820,1754204465841965.8
4557243137,1754204465874277.0
4557276455,1754204465907552.8
4557309774,1754204465940948.5
4557343092,1754204465974227.5
4557376410,1754204466007526.8
4557409730,1754204466040856.0
4557443049,1754204466074172.8
4557476366,1754204466107504.2
4557509683,1754204466141186.2
4557543002,1754204466174456.0
4557576322,1754204466207700.5
4557609638,1754204466240738.8
4557642957,1754204466274128.5
4557676276,1754204466307385.8
4557709593,1754204466340843.8
4557742911,1754204466374183.0
4557776232,1754204466407480.5
4557809549,1754204466440360.5
4557842866,1754204466474645.2
4557876187,1754204466506917.8
4557909504,1754204466540427.8
4557942819,1754204466573714.5
4557976139,1754204466607001.2
4558009455,1754204466640279.0
4558042774,1754204466673697.8
4558076094,1754204466706935.0
4558109410,1754204466741308.5
4558142731,1754204466774545.0
4558176049,1754204466806922.5
4558209367,1754204466840228.0
4558242684,1754204466873603.8
4558276001,1754204466906881.8
4558309323,1754204466940246.0
4558342639,1754204466974465.8
4558375959,1754204467006711.2
4558409277,1754204467040032.8
4558442594,1754204467073367.0
4558475911,1754204467106650.5
4558509231,1754204467140002.0
4558542549,1754204467173309.2
4558575867,1754204467207666.5
4558609185,1754204467239945.8
4558642504,1754204467273288.0
4558675822,1754204467306608.2
4558709141,1754204467340250.2
4558742459,1754204467373237.0
4558775777,1754204467406539.2
4558809095,1754204467439816.2
4558842414,1754204467474177.5
4558875733,1754204467506517.5
4558909051,1754204467539819.0
4558942368,1754204467574163.5
4558975688,1754204467606437.5
4559009005,1754204467639743.2
4559042322,1754204467673079.5
4559075642,1754204467706447.8
4559108960,1754204467739847.5
4559142277,1754204467773150.8
4559175596,1754204467806480.8
4559208914,1754204467839723.8
4559242233,1754204467873125.8
4559275550,1754204467906478.8
4559308871,1754204467939662.8
4559342187,1754204467974042.8
4559375505,1754204468006413.5
4559408825,1754204468039617.5
4559442143,1754204468072978.0
4559475460,1754204468106319.2
4559508780,1754204468139703.0
4559542098,1754204468172987.8
4559575415,1754204468207338.8
4559608735,1754204468239585.0
4559642053,1754204468272934.2
4559675373,1754204468306298.0
4559708691,1754204468339549.2
4559742007,1754204468372900.2
4559775325,1754204468406221.0
4559808644,1754204468439505.8
4559841962,1754204468472849.0
4559875280,1754204468506207.5
4559908600,1754204468539572.2
4559941915,1754204468572782.0
4559975233,1754204468606085.2
4560008554,1754204468639326.5
4560041874,1754204468672673.8
4560075191,1754204468705985.5
4560108509,1754204468740264.0
4560141826,1754204468772581.0
4560175145,1754204468805907.0
4560208464,1754204468839172.8
4560241780,1754204468872549.0
4560275099,1754204468905866.5
4560308419,1754204468939302.0
4560341735,1754204468972605.2
4560375054,1754204469005921.2
4560408373,1754204469039199.0
4560441692,1754204469072512.8
4560475007,1754204469105873.8
4560508327,1754204469139240.0
4560541646,1754204469172610.0
4560574964,1754204469205854.2
4560608281,1754204469239184.5
4560641601,1754204469272492.8
4560674918,1754204469305807.0
4560708236,1754204469339220.8
4560741555,1754204469372428.2
4560774872,1754204469406783.8
4560808190,1754204469439071.8
4560841510,1754204469472348.2
4560874827,1754204469505706.8
4560908148,1754204469539012.5
4560941465,1754204469572346.8
4560974782,1754204469605682.5
4561008101,1754204469639988.5
4561041420,1754204469673308.0
4561074738,1754204469705680.5
4561108057,1754204469738995.2
4561141373,1754204469772258.2
4561174693,1754204469805564.8
4561208012,1754204469838871.8
4561241328,1754204469873218.8
4561274648,1754204469906514.0
4561307966,1754204469938805.5
4561341284,1754204469972199.8
4561374602,1754204470005426.5
4561407919,1754204470038748.5
4561441238,1754204470072078.2
4561474556,1754204470105353.2
4561507873,1754204470138783.2
4561541193,1754204470172062.2
4561574512,1754204470205406.8
4561607830,1754204470238694.8
4561641148,1754204470271990.8
4561674468,1754204470305287.0
4561707786,1754204470339619.8
4561741103,1754204470371961.5
4561774422,1754204470405263.0
4561807739,1754204470438597.5
4561841057,1754204470471948.8
4561874377,1754204470505228.2
4561907695,1754204470538639.2
4561941013,1754204470571830.8
4561974333,1754204470605197.0
4562007649,1754204470638545.0
4562040968,1754204470671841.5
4562074288,1754204470705087.5
4562107603,1754204470738355.5
4562140922,1754204470771704.5
4562174240,1754204470805106.0
4562207558,1754204470838398.8
4562240876,1754204470871727.0
4562274194,1754204470905061.5
4562307513,1754204470938486.8
4562340831,1754204470971738.5
4562374151,1754204471005002.2
4562407468,1754204471038308.5
4562440788,1754204471071555.2
4562474106,1754204471104865.5
4562507424,1754204471138210.8
4562540743,1754204471171484.2
4562574060,1754204471205835.0
4562607380,1754204471238141.2
4562640698,1754204471272492.0
4562674015,1754204471304814.5
4562707334,1754204471338228.5
4562740653,1754204471371414.2
4562773971,1754204471405790.8
4562807289,1754204471438275.0
4562840607,1754204471472013.0
4562873925,1754204471505330.8
4562907244,1754204471539576.5
4562940562,1754204471572734.8
